Gmt time,Open,High,Low,Close,Volume
30.08.2018 21:00:00.000,1.30069,1.30287,1.29449,1.29528,142654.41999999998
31.08.2018 21:00:00.000,1.29528,1.29528,1.29528,1.29528,0
01.09.2018 21:00:00.000,1.29528,1.29528,1.29528,1.29528,0
02.09.2018 21:00:00.000,1.29095,1.29336,1.28547,1.28676,126906.3087
03.09.2018 21:00:00.000,1.28671,1.28757,1.28100,1.28540,143938.01200000002
04.09.2018 21:00:00.000,1.28529,1.29822,1.27851,1.29037,157648.5804
05.09.2018 21:00:00.000,1.29031,1.29622,1.28960,1.29261,136863.45990000002
06.09.2018 21:00:00.000,1.29260,1.30278,1.29081,1.29137,162733.39969999995
07.09.2018 21:00:00.000,1.29137,1.29137,1.29137,1.29137,0
08.09.2018 21:00:00.000,1.29137,1.29137,1.29137,1.29137,0
09.09.2018 21:00:00.000,1.29179,1.30514,1.28967,1.30253,125994.98980000002
10.09.2018 21:00:00.000,1.30253,1.30869,1.29641,1.30299,141086.9907
11.09.2018 21:00:00.000,1.30299,1.30821,1.29791,1.30446,143666.551
12.09.2018 21:00:00.000,1.30446,1.31233,1.30261,1.31060,141780.42119999998
13.09.2018 21:00:00.000,1.31057,1.31435,1.30565,1.30664,140089.08130000002
14.09.2018 21:00:00.000,1.30664,1.30664,1.30664,1.30664,0
15.09.2018 21:00:00.000,1.30664,1.30664,1.30664,1.30664,0
16.09.2018 21:00:00.000,1.30683,1.31646,1.30672,1.31564,133522.42010000002
17.09.2018 21:00:00.000,1.31566,1.31725,1.31185,1.31475,149008.59039999996
18.09.2018 21:00:00.000,1.31475,1.32146,1.30974,1.31427,164822.7305
19.09.2018 21:00:00.000,1.31425,1.32980,1.31303,1.32589,165942.58880000003
20.09.2018 21:00:00.000,1.32588,1.32765,1.30558,1.30764,175118.8584
21.09.2018 21:00:00.000,1.30764,1.30764,1.30764,1.30764,0
22.09.2018 21:00:00.000,1.30764,1.30764,1.30764,1.30764,0
23.09.2018 21:00:00.000,1.30775,1.31667,1.30628,1.31192,129936.48969999998
24.09.2018 21:00:00.000,1.31192,1.31933,1.30947,1.31786,138382.9911
25.09.2018 21:00:00.000,1.31785,1.32171,1.31381,1.31639,148748.7595
26.09.2018 21:00:00.000,1.31637,1.31779,1.30733,1.30733,147624.11840000004
27.09.2018 21:00:00.000,1.30729,1.30899,1.30002,1.30278,127986.92829999999
28.09.2018 21:00:00.000,1.30278,1.30278,1.30278,1.30278,0
29.09.2018 21:00:00.000,1.30278,1.30278,1.30278,1.30278,0
30.09.2018 21:00:00.000,1.30371,1.31153,1.30119,1.30419,135165.09960000002
01.10.2018 21:00:00.000,1.30418,1.30482,1.29409,1.29777,153540.51019999996
02.10.2018 21:00:00.000,1.29778,1.30226,1.29237,1.29362,178153.74060000002
03.10.2018 21:00:00.000,1.29356,1.30411,1.29220,1.30208,171723.30050000004
04.10.2018 21:00:00.000,1.30199,1.31226,1.30032,1.31136,158107.70989999996
05.10.2018 21:00:00.000,1.31136,1.31136,1.31136,1.31136,0
06.10.2018 21:00:00.000,1.31136,1.31136,1.31136,1.31136,0
07.10.2018 21:00:00.000,1.31230,1.31326,1.30279,1.30859,145586.9699
08.10.2018 21:00:00.000,1.30857,1.31500,1.30328,1.31425,173731.1905
09.10.2018 21:00:00.000,1.31412,1.32158,1.31332,1.31880,160079.58019999997
10.10.2018 21:00:00.000,1.31880,1.32468,1.31741,1.32311,220068.0706
11.10.2018 21:00:00.000,1.32311,1.32575,1.31458,1.31516,185599.61009999996
12.10.2018 21:00:00.000,1.31516,1.31516,1.31516,1.31516,0
13.10.2018 21:00:00.000,1.31516,1.31516,1.31516,1.31516,0
14.10.2018 21:00:00.000,1.30854,1.31815,1.30811,1.31514,164563.66969999997
15.10.2018 21:00:00.000,1.31514,1.32362,1.31350,1.31767,152429.23890000005
16.10.2018 21:00:00.000,1.31768,1.31923,1.30993,1.31128,147895.70890000006
17.10.2018 21:00:00.000,1.31115,1.31311,1.30158,1.30168,151616.5293
18.10.2018 21:00:00.000,1.30168,1.31037,1.30109,1.30666,144538.00200000004
19.10.2018 21:00:00.000,1.30666,1.30666,1.30666,1.30666,0
20.10.2018 21:00:00.000,1.30666,1.30666,1.30666,1.30666,0
21.10.2018 21:00:00.000,1.30703,1.30899,1.29562,1.29564,143043.4796
22.10.2018 21:00:00.000,1.29563,1.30439,1.29368,1.29819,166182.35009999998
23.10.2018 21:00:00.000,1.29819,1.29904,1.28668,1.28792,169822.56949999998
24.10.2018 21:00:00.000,1.28798,1.29192,1.27968,1.28162,166384.3495
25.10.2018 21:00:00.000,1.28162,1.28411,1.27772,1.28260,192441.5008
26.10.2018 21:00:00.000,1.28260,1.28260,1.28260,1.28260,0
27.10.2018 21:00:00.000,1.28260,1.28260,1.28260,1.28260,0
28.10.2018 21:00:00.000,1.28212,1.28528,1.27918,1.27919,140135.19110000003
29.10.2018 21:00:00.000,1.27916,1.28123,1.26956,1.27066,143717.57989999995
30.10.2018 21:00:00.000,1.27066,1.28303,1.26905,1.27644,145521.808
31.10.2018 21:00:00.000,1.27648,1.30349,1.27629,1.30009,171144.1286
01.11.2018 21:00:00.000,1.30003,1.30406,1.29513,1.29617,157950.22939999998
02.11.2018 21:00:00.000,1.29617,1.29617,1.29617,1.29617,0
03.11.2018 21:00:00.000,1.29617,1.29617,1.29617,1.29617,0
04.11.2018 22:00:00.000,1.30210,1.30553,1.29641,1.30398,135208.61989999996
05.11.2018 22:00:00.000,1.30395,1.31070,1.30208,1.30950,142004.8495
06.11.2018 22:00:00.000,1.30951,1.31744,1.30731,1.31219,189711.8399
07.11.2018 22:00:00.000,1.31230,1.31496,1.30447,1.30607,161200.76069999998
08.11.2018 22:00:00.000,1.30607,1.30701,1.29580,1.29729,153090.9395
09.11.2018 22:00:00.000,1.29729,1.29729,1.29729,1.29729,0
